Lang;Compensation
Perl;76
Scala;76
Go;74
Rust;74
Ruby;71
Bash/Shell/PowerShell;65
Objective-C;64
Haskell;60
Julia;59
Python;59
Swift;58
C#;57
R;57
TypeScript;57
Kotlin;54
SQL;54
Assembly;53
C++;53
JavaScript;53
HTML/CSS;52
VBA;51
C;50
Java;50
PHP;39
Dart;37
