Lang;Compensation
Clojure;72
Rust;66
Elixir;65
F#;65
Go;65
Perl;63
Groovy;62
Ruby;60
Scala;60
R;57
CoffeeScript;55
Lua;55
TypeScript;54
Haskell;54
Objective-C;54
Python;54
Swift;54
C#;54
C++;51
VBA;50
JavaScript;50
Matlab;50
SQL;50
VB.NET;50
C;49
