Lang;Compensation
F#;74
Ocaml;73
Clojure;72
Groovy;72
Perl;69
Rust;69
Erlang;67
Scala;67
Go;66
Ruby;64
Bash/Shell;63
CoffeeScript;60
Haskell;60
Julia;60
TypeScript;60
C#;59
Objective-C;58
R;58
Swift;57
Lua;56
Python;56
SQL;56
JavaScript;55
HTML;54
CSS;53
