Language,Worked,Worked_per,Wanted,Wanted_per,Salary,Year,Category
.NETCore,0.13159635740971357,13.2,0.1558219178082192,13.2,54,2017,Webframe
AngularJS,0.17438511830635117,17.4,0.19613947696139478,17.4,50,2017,Webframe
Cordova,0.04343088418430884,4.3,0.04210772104607721,4.3,39,2017,Webframe
Firebase,0.03850793897882939,3.9,0.05732409713574097,3.9,41,2017,Webframe
Hadoop,0.02233810709838107,2.2,0.0662359900373599,2.2,57,2017,Webframe
Node.js,0.18528175591531756,18.5,0.23425825031133252,18.5,52,2017,Webframe
React,0.07691858655043586,7.7,0.1735678704856787,7.7,56,2017,Webframe
Spark,0.018543742216687423,1.9,0.049385118306351186,1.9,64,2017,Webframe
Xamarin,0.03259262141967621,3.3,0.07392201120797011,3.3,49,2017,Webframe
