Language,Worked,Worked_per,Wanted,Wanted_per,Salary,Year,Category
.NETCore/.NET5,0.1834873380553458,18.3,0.16335286856266254,18.3,64,2021,MiscTech
.NETFramework,0.199187430338331,19.9,0.09301405817423507,19.9,60,2021,MiscTech
ApacheSpark,0.03395294766236412,3.4,0.041383525689425806,3.4,68,2021,MiscTech
Cordova,0.04183894821366507,4.2,0.01767758482244514,4.2,40,2021,MiscTech
Flutter,0.07893191433262622,7.9,0.1104040077182133,7.9,31,2021,MiscTech
Hadoop,0.025827251045674085,2.6,0.03358141876101104,2.6,62,2021,MiscTech
Keras,0.059085080118409856,5.9,0.06220112896846798,5.9,46,2021,MiscTech
NumPy,0.19709008976617648,19.7,0.15308189216074017,19.7,55,2021,MiscTech
Pandas,0.16376035187382398,16.4,0.1301909179160824,16.4,55,2021,MiscTech
Qt,0.057670873332614246,5.8,0.04168314577116217,5.8,54,2021,MiscTech
ReactNative,0.08450484785292249,8.5,0.1033209889859658,8.5,44,2021,MiscTech
TensorFlow,0.0962859094667961,9.6,0.14236747803784802,9.6,51,2021,MiscTech
Torch/PyTorch,0.05762293411953643,5.8,0.09560277568043721,5.8,54,2021,MiscTech
