Language,Worked,Worked_per,Wanted,Wanted_per,Salary,Year,Category
AmazonWebServices(AWS),0.15922711706102116,15.9,0.20832036114570363,15.9,61,2017,Platforms
Android,0.15977194894146948,16.0,0.21441080323785802,16.0,42,2017,Platforms
Arduino,0.05810242839352429,5.8,0.0901307596513076,5.8,46,2017,Platforms
LinuxDesktop,0.18666329389788294,18.7,0.18154576587795765,18.7,46,2017,Platforms
MacOS,0.10435476338729763,10.4,0.10583359277708593,10.4,58,2017,Platforms
Mainframe,0.007861145703611457,0.8,0.00801681195516812,0.8,55,2017,Platforms
MicrosoftAzure,0.06473770236612703,6.5,0.08670610211706102,6.5,58,2017,Platforms
RaspberryPi,0.09098692403486924,9.1,0.15630837484433374,9.1,51,2017,Platforms
Salesforce,0.014827210460772105,1.5,0.012317092154420922,1.5,70,2017,Platforms
Serverless,0.011791718555417186,1.2,0.036192403486924034,1.2,75,2017,Platforms
SharePoint,0.02107331880448319,2.1,0.012920298879202988,2.1,51,2017,Platforms
WindowsDesktop,0.23250700498132004,23.3,0.14940068493150685,23.3,48,2017,Platforms
WindowsPhone,0.021871108343711084,2.2,0.02722213574097136,2.2,41,2017,Platforms
WordPress,0.08828222291407223,8.8,0.04557129514321295,8.8,44,2017,Platforms
iOS,0.09304950186799502,9.3,0.14093633250311333,9.3,51,2017,Platforms
