Language,Worked,Worked_per,Wanted,Wanted_per,Salary,Year,Category
.NETCore,0.1418845784229427,14.2,0.15477214101461736,14.2,54,2018,Webframe
Angular,0.19243336199484093,19.2,0.19155328511456174,19.2,48,2018,Webframe
Cordova,0.04419604471195185,4.4,0.037347630367710286,4.4,35,2018,Webframe
Django,0.0680086996105407,6.8,0.0887562591674675,6.8,45,2018,Webframe
Hadoop,0.024753426736128674,2.5,0.06315310302968995,2.5,66,2018,Webframe
Node.js,0.258944919326286,25.9,0.2843761064184917,25.9,52,2018,Webframe
React,0.14503060037428556,14.5,0.24010925092306915,14.5,58,2018,Webframe
Spark,0.025036669870011633,2.5,0.05375550048050175,2.5,66,2018,Webframe
Spring,0.09184158616154975,9.2,0.08156390673208234,9.2,48,2018,Webframe
TensorFlow,0.04072631632188559,4.1,0.14769106266754337,4.1,54,2018,Webframe
Torch/PyTorch,0.008780537150371756,0.9,0.04125233928481109,0.9,45,2018,Webframe
Xamarin,0.03839967629356127,3.8,0.0648424460067776,3.8,46,2018,Webframe
