Language,Worked,Worked_per,Wanted,Wanted_per,Salary,Year,Category
ASP.NET,0.1436217247638107,14.4,0.07474286778051846,14.4,58,2020,Webframe
ASP.NETCore,0.12537813561688463,12.5,0.13989854330525434,12.5,62,2020,Webframe
Angular,0.16470423977288592,16.5,0.16695366190409705,16.5,52,2020,Webframe
Angular.js,0.10589348598377313,10.6,0.0868897472890585,10.6,54,2020,Webframe
Django,0.09329672204899087,9.3,0.12778269030886893,9.3,51,2020,Webframe
Drupal,0.021237647569848434,2.1,0.013791284652735762,2.1,54,2020,Webframe
Express,0.13901428770884722,13.9,0.12609174539644125,13.9,52,2020,Webframe
Flask,0.093157102744295,9.3,0.09458432230340827,9.3,62,2020,Webframe
Gatsby,0.02641907509967267,2.6,0.046508741719799566,2.6,70,2020,Webframe
Laravel,0.07260203844184857,7.3,0.06608647088937497,7.3,29,2020,Webframe
React.js,0.23528955492468315,23.5,0.31136656272785096,23.5,61,2020,Webframe
RubyonRails,0.045671025891624396,4.6,0.05971052264159724,4.6,71,2020,Webframe
Spring,0.10767751043266471,10.8,0.09681823117854206,10.8,55,2020,Webframe
Symfony,0.028715036999115744,2.9,0.026248429282822172,2.9,48,2020,Webframe
Vue.js,0.1135880609981229,11.4,0.20387521136811404,11.4,52,2020,Webframe
jQuery,0.2841407983121577,28.4,0.13003211244008006,28.4,48,2020,Webframe
