Language,Worked,Worked_per,Wanted,Wanted_per,Salary,Year,Category
Cassandra,0.025658925551884086,2.6,0.06557453343882347,2.6,72,2020,Database
Couchbase,0.01453592094444703,1.5,0.02603124369773972,1.5,70,2020,Database
DynamoDB,0.05424985650238128,5.4,0.07404477125703914,5.4,83,2020,Database
Elasticsearch,0.10575386667907727,10.6,0.15930562665797923,10.6,71,2020,Database
Firebase,0.11057848931912319,11.1,0.13341400226493538,11.1,39,2020,Database
IBMDB2,0.022044336885868977,2.2,0.014504894432292394,2.2,63,2020,Database
MariaDB,0.12894618451466777,12.9,0.09503420672965049,12.9,48,2020,Database
MicrosoftSQLServer,0.253424551279068,25.3,0.15320891701959324,25.3,60,2020,Database
MongoDB,0.20300646902778424,20.3,0.24858441538294473,20.3,50,2020,Database
MySQL,0.4275298242348086,42.8,0.24408557112052248,42.8,47,2020,Database
Oracle,0.12651060331052885,12.7,0.07437054963466282,12.7,51,2020,Database
PostgreSQL,0.27756317773537487,27.8,0.27428988070306076,27.8,62,2020,Database
Redis,0.14048804703619241,14.0,0.1858022680380385,14.0,67,2020,Database
SQLite,0.23943159429732708,23.9,0.16923411054746282,23.9,54,2020,Database
