Language,Worked,Worked_per,Wanted,Wanted_per,Salary,Year,Category
ASP.NET,0.11886527882644807,11.9,0.05378779707331104,11.9,58,2021,Webframe
ASP.NETCore,0.1366746964848572,13.7,0.1252891333788756,13.7,62,2021,Webframe
Angular,0.17343208811227365,17.3,0.1382207361066168,17.3,50,2021,Webframe
Angular.js,0.08679394527738828,8.7,0.05145076043576745,8.7,50,2021,Webframe
Django,0.11320845168326561,11.3,0.10920552739126788,11.3,45,2021,Webframe
Drupal,0.018073083330337133,1.8,0.007826076534953678,1.8,52,2021,Webframe
Express,0.17989189707450953,18.0,0.14243938685746474,18.0,48,2021,Webframe
FastAPI,0.02932681360035475,2.9,0.04780738024185333,2.9,54,2021,Webframe
Flask,0.12193338846342837,12.2,0.09101259602823619,12.2,56,2021,Webframe
Gatsby,0.029973992976905284,3.0,0.03391699325255576,3.0,62,2021,Webframe
Laravel,0.07642709044931027,7.6,0.056736058677596804,7.6,29,2021,Webframe
React.js,0.30316758350411677,30.3,0.3082251704838265,30.3,59,2021,Webframe
RubyonRails,0.05318855690983833,5.3,0.05092342909191146,5.3,79,2021,Webframe
Spring,0.1099845396037824,11.0,0.08663814283488537,11.0,53,2021,Webframe
Svelte,0.020793633672503267,2.1,0.06274044511559343,2.1,65,2021,Webframe
Symfony,0.029087117534965665,2.9,0.021404858639245437,2.9,47,2021,Webframe
Vue.js,0.14326633828305707,14.3,0.18916813480506717,14.3,51,2021,Webframe
jQuery,0.25998633732427284,26.0,0.10171502534785891,26.0,47,2021,Webframe
