Language,Worked,Worked_per,Wanted,Wanted_per,Salary,Year,Category
AmazonDynamoDB,0.03494006372970512,3.5,0.06131202265945071,3.5,78,2018,Database
AmazonRDS/Aurora,0.034272419199838144,3.4,0.04683627535278944,3.4,75,2018,Database
AmazonRedshift,0.01480956957159476,1.5,0.03219867482676648,1.5,90,2018,Database
ApacheHBase,0.01119821961458702,1.1,0.023387790197764404,1.1,58,2018,Database
ApacheHive,0.014546558090132012,1.5,0.02683728693541045,1.5,70,2018,Database
Cassandra,0.024723079257498354,2.5,0.058469475494411005,2.5,69,2018,Database
Elasticsearch,0.09419857366850437,9.4,0.1422082848616661,9.4,62,2018,Database
GoogleBigQuery,0.014000303474786303,1.4,0.05094330079409236,1.4,73,2018,Database
GoogleCloudStorage,0.03676091244752415,3.7,0.07602043396894441,3.7,50,2018,Database
IBMDb2,0.016964240554347275,1.7,0.009154822720145669,1.7,56,2018,Database
MariaDB,0.08955540943806585,9.0,0.0721056092256335,9.0,41,2018,Database
Memcached,0.03656871174953214,3.7,0.036285468615649186,3.7,63,2018,Database
"MicrosoftAzure(Tables,CosmosDB,SQL,etc)",0.05263264377118001,5.3,0.08421425319913003,5.3,62,2018,Database
MongoDB,0.17382024176824643,17.4,0.2116837792726721,17.4,46,2018,Database
MySQL,0.3935966820090031,39.4,0.22219412270497194,39.4,41,2018,Database
Neo4j,0.015902078802286175,1.6,0.03833898133630064,1.6,60,2018,Database
Oracle,0.07461433412573971,7.5,0.044013959840169946,7.5,48,2018,Database
PostgreSQL,0.22028223155126195,22.0,0.20244802994284558,22.0,53,2018,Database
Redis,0.1208234282535026,12.1,0.1435233422689798,12.1,60,2018,Database
SQLServer,0.27609124475241514,27.6,0.1643518284355875,27.6,50,2018,Database
SQLite,0.13186991047493804,13.2,0.0852056041677204,13.2,45,2018,Database
