Language,Worked,Worked_per,Wanted,Wanted_per,Salary,Year,Category
AWS,0.16111476404835365,16.1,0.18697081584138384,16.1,64,2018,Platforms
AmazonEcho,0.019604471195184867,2.0,0.05959233220373274,2.0,72,2018,Platforms
Android,0.1937888827069951,19.4,0.22041373729199332,19.4,36,2018,Platforms
AppleWatchorAppleTV,0.012806635981993829,1.3,0.03426230337362804,1.3,68,2018,Platforms
Arduino,0.07087147842800061,7.1,0.09735471144605735,7.1,44,2018,Platforms
Azure,0.0735117090688382,7.4,0.09139648980830509,7.4,63,2018,Platforms
Drupal,0.020332810682312477,2.0,0.013029184158616154,2.0,47,2018,Platforms
ESP8266,0.014829801224014972,1.5,0.01888624753426736,1.5,47,2018,Platforms
Firebase,0.09685903596176218,9.7,0.12015578372363563,9.7,32,2018,Platforms
Gamingconsole,0.008598452278589854,0.9,0.04008901927064893,0.9,52,2018,Platforms
GoogleCloudPlatform/AppEngine,0.053634110565980476,5.4,0.09474482828385009,5.4,54,2018,Platforms
GoogleHome,0.009023316979414294,0.9,0.04559202872894644,0.9,51,2018,Platforms
Heroku,0.06993070659046077,7.0,0.0600576602093976,7.0,48,2018,Platforms
IBMCloudorWatson,0.009610034899600425,1.0,0.02237620757675383,1.0,56,2018,Platforms
Linux,0.32228010722775785,32.2,0.29859895806990033,32.2,50,2018,Platforms
MacOS,0.11958929745586971,12.0,0.12121794547569673,12.0,59,2018,Platforms
Mainframe,0.005391735369986344,0.5,0.006109959030903849,0.5,65,2018,Platforms
Predix,0.0011127408831116282,0.1,0.0022760608972737847,0.1,41,2018,Platforms
RaspberryPi,0.1063072176420009,10.6,0.16279399119923119,10.6,55,2018,Platforms
Salesforce,0.01473875878812402,1.5,0.013221384856608164,1.5,69,2018,Platforms
Serverless,0.030215972889585756,3.0,0.0660968084568307,3.0,77,2018,Platforms
SharePoint,0.017864549087046686,1.8,0.0108037023923929,1.8,54,2018,Platforms
WindowsDesktoporServer,0.23663952253300288,23.7,0.1599919073390319,23.7,47,2018,Platforms
WindowsPhone,0.018208487178190277,1.8,0.014961306964746346,1.8,38,2018,Platforms
WordPress,0.10607455363916848,10.6,0.054888473016033584,10.6,37,2018,Platforms
iOS,0.10319154316928836,10.3,0.13312427292499115,10.3,51,2018,Platforms
