Language,Worked,Worked_per,Wanted,Wanted_per,Salary,Year,Category
Cassandra,0.022447536523687965,2.2,0.05065976341998346,2.2,67,2021,Database
Couchbase,0.013255192416016491,1.3,0.020014621459988734,1.3,64,2021,Database
DynamoDB,0.0615659343951869,6.2,0.0723762269442347,6.2,82,2021,Database
Elasticsearch,0.11183019930727837,11.2,0.13955104926952625,11.2,68,2021,Database
Firebase,0.1363031675835041,13.6,0.12914824003163988,13.6,37,2021,Database
IBMDB2,0.01723414710147533,1.7,0.008125696616690038,1.7,65,2021,Database
MariaDB,0.14487230192116396,14.5,0.09798775153105861,14.5,47,2021,Database
MicrosoftSQLServer,0.22646484257960905,22.6,0.13655484845216265,22.6,59,2021,Database
MongoDB,0.23345198288570093,23.3,0.24126607461738517,23.3,45,2021,Database
MySQL,0.42293172257577394,42.3,0.2433753999928091,42.3,44,2021,Database
Oracle,0.10628123539352101,10.6,0.05461474849890339,10.6,48,2021,Database
PostgreSQL,0.34065604813096995,34.1,0.3245724421433622,34.1,60,2021,Database
Redis,0.17440285717709944,17.4,0.20628243387384795,17.4,65,2021,Database
SQLite,0.27126403720082937,27.1,0.18433825908747709,27.1,53,2021,Database
