Language,Worked,Worked_per,Wanted,Wanted_per,Salary,Year,Category
Ansible,0.06719879193183044,6.7,0.07042270401131366,6.7,74,2021,Platforms
Chef,0.011769076810604153,1.2,0.013410994858519397,1.2,92,2021,Platforms
Deno,0.012308392957729598,1.2,0.05720346600510553,1.2,68,2021,Platforms
Docker,0.4271863277364302,42.7,0.45386449981423554,42.7,65,2021,Platforms
Flow,0.011133882237323074,1.1,0.011673198384448519,1.1,53,2021,Platforms
Git,0.8170160236819712,81.7,0.6988099090353432,81.7,58,2021,Platforms
Kubernetes,0.14519589160943924,14.5,0.26339002145279783,14.5,77,2021,Platforms
Pulumi,0.004410407603159194,0.4,0.010798307745778352,0.4,114,2021,Platforms
Puppet,0.015736046692793538,1.6,0.017114299068780786,1.6,78,2021,Platforms
Terraform,0.06522129939237048,6.5,0.0929541341578878,6.5,93,2021,Platforms
Unity3D,0.08636249235968792,8.6,0.09929409508742915,8.6,46,2021,Platforms
UnrealEngine,0.028032454847253682,2.8,0.06667146058797445,2.8,50,2021,Platforms
Xamarin,0.03408478049832812,3.4,0.03567875933316555,3.4,53,2021,Platforms
Yarn,0.1550473998969307,15.5,0.11908100528529825,15.5,59,2021,Platforms
