Language,Worked,Worked_per,Wanted,Wanted_per,Salary,Year,Category,Category2
React.js,0.2236310655580932,22.4,0.3322457612816849,22.4,63.0,2019,Webframe,Webframe
RubyonRails,0.0587851445158241,5.9,0.0746149432399896,5.9,70.0,2019,Webframe,Webframe
Spring,0.1158601757366425,11.6,0.1107748388330727,11.6,52.0,2019,Webframe,Webframe
Vue.js,0.1088059583947436,10.9,0.2225847462394383,10.9,51.0,2019,Webframe,Webframe
jQuery,0.3485593420564112,34.9,0.1903401100322896,34.9,46.0,2019,Webframe,Webframe
Cassandra,0.0292181857048029,2.9,0.0681345139115466,2.9,73.0,2019,Database,Database
Couchbase,0.0170673807139723,1.7,0.0277780902984822,1.7,66.0,2019,Database,Database
DynamoDB,0.0520797002801435,5.2,0.0689220660868782,5.2,88.0,2019,Database,Database
Elasticsearch,0.120607990279356,12.1,0.1737115083874306,12.1,70.0,2019,Database,Database
Firebase,0.1081421644183927,10.8,0.1341201354589741,10.8,41.0,2019,Database,Database
MariaDB,0.1395204932326766,14.0,0.1123499431837359,14.0,44.0,2019,Database,Database
MicrosoftSQLServer,0.2766558284486347,27.7,0.1825433434965066,27.7,58.0,2019,Database,Database
MongoDB,0.2148892364119123,21.5,0.2662713904796193,21.5,51.0,2019,Database,Database
MySQL,0.4560714647345387,45.6,0.2897066930684158,45.6,46.0,2019,Database,Database
Oracle,0.1389804574553064,13.9,0.0821191903963637,13.9,48.0,2019,Database,Database
Other(s):,0.056917520785752,5.7,0.0508083660542511,5.7,72.0,2019,Database,Programming
PostgreSQL,0.2897966990313108,29.0,0.2975372118402844,29.0,60.0,2019,Database,Database
Redis,0.1571841634508286,15.7,0.2015346016673604,15.7,66.0,2019,Database,Database
SQLite,0.2667889247662657,26.7,0.2003420226590011,26.7,50.0,2019,Database,Database
Assembly,0.0656255976958473,6.6,0.0524172226409999,6.6,51.0,2019,Programming,Programming
Bash/Shell/PowerShell,0.3599225948719102,36.0,0.2396746284441344,36.0,67.0,2019,Programming,Programming
C,0.202704679184996,20.3,0.1253670555674313,20.3,52.0,2019,Programming,Programming
C#,0.3048614470708684,30.5,0.2525679826288491,30.5,58.0,2019,Programming,Programming
C++,0.2309102978072297,23.1,0.189642563819853,23.1,54.0,2019,Programming,Programming
Clojure,0.0141084346837978,1.4,0.0309620512358943,1.4,89.0,2019,Programming,Programming
Dart,0.0189350044440444,1.9,0.0498295512077675,1.9,46.0,2019,Programming,Programming
Elixir,0.014175939155969,1.4,0.0426178234308022,1.4,77.0,2019,Programming,Programming
Erlang,0.0087418291461809,0.9,0.0238965831486335,0.9,70.0,2019,Programming,Programming
F#,0.0109469752371094,1.1,0.0396138744191802,1.1,77.0,2019,Programming,Programming
Go,0.0810166173508995,8.1,0.1919377158736766,8.1,78.0,2019,Programming,Programming
HTML/CSS,0.6240338422420485,62.4,0.4122835637861008,62.4,54.0,2019,Programming,Programming
Java,0.404093021162652,40.4,0.2644825219670803,40.4,52.0,2019,Programming,Programming
JavaScript,0.6662578895851851,66.6,0.5033470967451593,66.6,55.0,2019,Programming,Programming
Kotlin,0.0632291889337668,6.3,0.1491961342438936,6.3,55.0,2019,Programming,Programming
Objective-C,0.04715187381164,4.7,0.0320758750267205,4.7,61.0,2019,Programming,Programming
Other(s):,0.0891059032660913,8.9,0.0890158973031963,8.9,62.0,2019,Programming,Programming
PHP,0.2591046656841015,25.9,0.1444258182104564,25.9,41.0,2019,Programming,Programming
Python,0.410010913223001,41.0,0.4500973189473802,41.0,62.0,2019,Programming,Programming
R,0.0567937625867713,5.7,0.0757625192669014,5.7,64.0,2019,Programming,Programming
Ruby,0.0824792142479439,8.2,0.0815791546189935,8.2,75.0,2019,Programming,Programming
Rust,0.0314345825410933,3.1,0.1180990740636567,3.1,72.0,2019,Programming,Programming
SQL,0.5349054374852334,53.5,0.3776425188168716,53.5,56.0,2019,Programming,Programming
Scala,0.0372287164024616,3.7,0.0625766457027778,3.7,77.0,2019,Programming,Programming
Swift,0.06462428135864,6.5,0.0990065591845459,6.5,58.0,2019,Programming,Programming
TypeScript,0.2083975563381074,20.8,0.2668676799837989,20.8,59.0,2019,Programming,Programming
VBA,0.0537898135751493,5.4,0.0184624731388454,5.4,55.0,2019,Programming,Programming
WebAssembly,0.0114195065423084,1.1,0.0949562908542691,1.1,74.0,2019,Programming,Programming
AWS,0.2232202416965296,22.3,0.2851491599571834,22.3,74.0,2020,Platforms,Platforms
Android,0.218752423946262,21.9,0.234017467926343,21.9,45.0,2020,Platforms,Platforms
Arduino,0.0886117187136408,8.9,0.106963900653108,8.9,48.0,2020,Platforms,Platforms
Docker,0.2924403903135229,29.2,0.3639099610617272,29.2,68.0,2020,Platforms,Platforms
GoogleCloudPlatform,0.1174198352492204,11.7,0.1806984067886008,11.7,61.0,2020,Platforms,Platforms
Heroku,0.0926761918058981,9.3,0.0786677215680799,9.3,48.0,2020,Platforms,Platforms
IBMCloudorWatson,0.0135896123237306,1.4,0.0281255332681776,1.4,57.0,2020,Platforms,Platforms
Kubernetes,0.095840896045671,9.6,0.2173252043871488,9.6,80.0,2020,Platforms,Platforms
Linux,0.4591923798886148,45.9,0.4262267107243139,45.9,60.0,2020,Platforms,Platforms
MacOS,0.2000899768852484,20.0,0.1829478289198119,20.0,72.0,2020,Platforms,Platforms
MicrosoftAzure,0.1214687950854004,12.1,0.1522781216549541,12.1,70.0,2020,Platforms,Platforms
RaspberryPi,0.1242611811793177,12.4,0.180170956081972,12.4,66.0,2020,Platforms,Platforms
SlackAppsandIntegrations,0.0608429903352414,6.1,0.0588107537891127,6.1,72.0,2020,Platforms,Platforms
Windows,0.4436015575309102,44.4,0.2763841702734987,44.4,54.0,2020,Platforms,Platforms
WordPress,0.1187384620157925,11.9,0.0596794961294426,11.9,43.0,2020,Platforms,Platforms
iOS,0.1017979863793611,10.2,0.1451575371154651,10.2,60.0,2020,Platforms,Platforms
.NET,0.2194194939575867,21.9,0.1302958377933944,21.9,61.0,2020,MiscTech,MiscTech
.NETCore,0.1668450691115558,16.7,0.1799847970090442,16.7,65.0,2020,MiscTech,MiscTech
Ansible,0.0458416717084748,4.6,0.0547307674407781,4.6,75.0,2020,MiscTech,Platforms
ApacheSpark,0.0324071919455174,3.2,0.0624408557112052,3.2,72.0,2020,MiscTech,MiscTech
Chef,0.0113712167046741,1.1,0.0173593335505189,1.1,97.0,2020,MiscTech,Platforms
Cordova,0.0375265664510324,3.8,0.0237973348226059,3.8,40.0,2020,MiscTech,MiscTech
Flutter,0.0449419028559904,4.5,0.1222599711453436,4.5,36.0,2020,MiscTech,MiscTech
Hadoop,0.0278928344270178,2.8,0.0616341663951846,2.8,70.0,2020,MiscTech,MiscTech
Keras,0.0388451932176044,3.9,0.0581591970338654,3.9,52.0,2020,MiscTech,MiscTech
Node.js,0.321760444299654,32.2,0.31975923426568,32.2,58.0,2020,MiscTech,Programming
Pandas,0.0970043902514698,9.7,0.1048385845705155,9.7,61.0,2020,MiscTech,MiscTech
Puppet,0.0146600269930655,1.5,0.0208808426800701,1.5,83.0,2020,MiscTech,Platforms
ReactNative,0.0717643226136733,7.2,0.1578473805867113,7.2,49.0,2020,MiscTech,MiscTech
TensorFlow,0.0721676672716836,7.2,0.1894323699601309,7.2,57.0,2020,MiscTech,MiscTech
Teraform,0.0390623788026869,3.9,0.0636664029413133,3.9,94.0,2020,MiscTech,MiscTech
Torch/PyTorch,0.0290408153767394,2.9,0.0791331192503994,2.9,58.0,2020,MiscTech,MiscTech
Unity3D,0.0684599990692046,6.8,0.1148601479964629,6.8,50.0,2020,MiscTech,Platforms
UnrealEngine,0.0204154449977505,2.0,0.0659158250725244,2.0,48.0,2020,MiscTech,Platforms
Xamarin,0.0365647445742386,3.7,0.0557391290858038,3.7,54.0,2020,MiscTech,Platforms
ASP.NET,0.1436217247638107,14.4,0.0747428677805184,14.4,58.0,2020,Webframe,Webframe
ASP.NETCore,0.1253781356168846,12.5,0.1398985433052543,12.5,62.0,2020,Webframe,Webframe
Angular,0.1647042397728859,16.5,0.166953661904097,16.5,52.0,2020,Webframe,Webframe
Angular.js,0.1058934859837731,10.6,0.0868897472890585,10.6,54.0,2020,Webframe,Webframe
Django,0.0932967220489908,9.3,0.1277826903088689,9.3,51.0,2020,Webframe,Webframe
Drupal,0.0212376475698484,2.1,0.0137912846527357,2.1,54.0,2020,Webframe,Webframe
Express,0.1390142877088472,13.9,0.1260917453964412,13.9,52.0,2020,Webframe,Webframe
Flask,0.093157102744295,9.3,0.0945843223034082,9.3,62.0,2020,Webframe,Webframe
Gatsby,0.0264190750996726,2.6,0.0465087417197995,2.6,70.0,2020,Webframe,Webframe
Laravel,0.0726020384418485,7.3,0.0660864708893749,7.3,29.0,2020,Webframe,Webframe
React.js,0.2352895549246831,23.5,0.3113665627278509,23.5,61.0,2020,Webframe,Webframe
RubyonRails,0.0456710258916243,4.6,0.0597105226415972,4.6,71.0,2020,Webframe,Webframe
Spring,0.1076775104326647,10.8,0.096818231178542,10.8,55.0,2020,Webframe,Webframe
Symfony,0.0287150369991157,2.9,0.0262484292828221,2.9,48.0,2020,Webframe,Webframe
Vue.js,0.1135880609981229,11.4,0.203875211368114,11.4,52.0,2020,Webframe,Webframe
jQuery,0.2841407983121577,28.4,0.13003211244008,28.4,48.0,2020,Webframe,Webframe
Cassandra,0.025658925551884,2.6,0.0655745334388234,2.6,72.0,2020,Database,Database
Couchbase,0.014535920944447,1.5,0.0260312436977397,1.5,70.0,2020,Database,Database
DynamoDB,0.0542498565023812,5.4,0.0740447712570391,5.4,83.0,2020,Database,Database
Elasticsearch,0.1057538666790772,10.6,0.1593056266579792,10.6,71.0,2020,Database,Database
Firebase,0.1105784893191231,11.1,0.1334140022649353,11.1,39.0,2020,Database,Database
IBMDB2,0.0220443368858689,2.2,0.0145048944322923,2.2,63.0,2020,Database,Database
MariaDB,0.1289461845146677,12.9,0.0950342067296504,12.9,48.0,2020,Database,Database
MicrosoftSQLServer,0.253424551279068,25.3,0.1532089170195932,25.3,60.0,2020,Database,Database
MongoDB,0.2030064690277842,20.3,0.2485844153829447,20.3,50.0,2020,Database,Database
MySQL,0.4275298242348086,42.8,0.2440855711205224,42.8,47.0,2020,Database,Database
Oracle,0.1265106033105288,12.7,0.0743705496346628,12.7,51.0,2020,Database,Database
PostgreSQL,0.2775631777353748,27.8,0.2742898807030607,27.8,62.0,2020,Database,Database
Redis,0.1404880470361924,14.0,0.1858022680380385,14.0,67.0,2020,Database,Database
SQLite,0.239431594297327,23.9,0.1692341105474628,23.9,54.0,2020,Database,Database
Assembly,0.055118598842711,5.5,0.0383022292548983,5.5,58.0,2020,Programming,Programming
Bash/Shell/PowerShell,0.2944416003474969,29.4,0.1819394672747863,29.4,71.0,2020,Programming,Programming
C,0.1937140286374707,19.4,0.0944912427669443,19.4,54.0,2020,Programming,Programming
C#,0.2798746528908952,28.0,0.2121282636012472,28.0,60.0,2020,Programming,Programming
C++,0.2126402010517987,21.3,0.151347326290315,21.3,58.0,2020,Programming,Programming
Dart,0.0353702238562851,3.5,0.0735638603186422,3.5,39.0,2020,Programming,Programming
Go,0.0781557841175284,7.8,0.1955445928545942,7.8,79.0,2020,Programming,Programming
HTML/CSS,0.5612851181334451,56.1,0.3222258419819735,56.1,55.0,2020,Programming,Programming
Haskell,0.0189571989264826,1.9,0.0464777152076449,1.9,65.0,2020,Programming,Programming
Java,0.3579528707280371,35.8,0.2057678286095468,35.8,54.0,2020,Programming,Programming
JavaScript,0.602255627433642,60.2,0.4062611501528055,60.2,57.0,2020,Programming,Programming
Julia,0.008051379904128,0.8,0.0257675183444253,0.8,65.0,2020,Programming,Programming
Kotlin,0.0693132281534571,6.9,0.1485394269403205,6.9,57.0,2020,Programming,Programming
Objective-C,0.0363010192209242,3.6,0.02365771551791,3.6,70.0,2020,Programming,Programming
PHP,0.2328074339523122,23.3,0.1102371976854221,23.3,43.0,2020,Programming,Programming
Perl,0.0278618079148632,2.8,0.0178402444889157,2.8,81.0,2020,Programming,Programming
Python,0.392283706427142,39.2,0.4139246986550007,39.2,64.0,2020,Programming,Programming
R,0.0510075859822218,5.1,0.0662571167062254,5.1,60.0,2020,Programming,Programming
Ruby,0.0627666340888289,6.3,0.0649074634274988,6.3,75.0,2020,Programming,Programming
Rust,0.0454383270504646,4.5,0.1638665239447107,4.5,78.0,2020,Programming,Programming
SQL,0.4873179131567924,48.7,0.3097997238640418,48.7,58.0,2020,Programming,Programming
Scala,0.0318332014706566,3.2,0.0537534323079071,3.2,81.0,2020,Programming,Programming
Swift,0.0526985308946494,5.3,0.0875413040443058,5.3,63.0,2020,Programming,Programming
TypeScript,0.2261522470951428,22.6,0.2660523417260049,22.6,62.0,2020,Programming,Programming
VBA,0.0542808830145359,5.4,0.0163664851615705,5.4,54.0,2020,Programming,Programming
Ansible,0.0671987919318304,6.7,0.0704227040113136,6.7,74.0,2021,Platforms,Platforms
Chef,0.0117690768106041,1.2,0.0134109948585193,1.2,92.0,2021,Platforms,Platforms
Deno,0.0123083929577295,1.2,0.0572034660051055,1.2,68.0,2021,Platforms,Platforms
Docker,0.4271863277364302,42.7,0.4538644998142355,42.7,65.0,2021,Platforms,Platforms
Flow,0.011133882237323,1.1,0.0116731983844485,1.1,53.0,2021,Platforms,Platforms
Git,0.8170160236819712,81.7,0.6988099090353432,81.7,58.0,2021,Platforms,Platforms
Kubernetes,0.1451958916094392,14.5,0.2633900214527978,14.5,77.0,2021,Platforms,Platforms
Pulumi,0.0044104076031591,0.4,0.0107983077457783,0.4,114.0,2021,Platforms,Platforms
Puppet,0.0157360466927935,1.6,0.0171142990687807,1.6,78.0,2021,Platforms,Platforms
Terraform,0.0652212993923704,6.5,0.0929541341578878,6.5,93.0,2021,Platforms,Platforms
Unity3D,0.0863624923596879,8.6,0.0992940950874291,8.6,46.0,2021,Platforms,Platforms
UnrealEngine,0.0280324548472536,2.8,0.0666714605879744,2.8,50.0,2021,Platforms,Platforms
Xamarin,0.0340847804983281,3.4,0.0356787593331655,3.4,53.0,2021,Platforms,Platforms
Yarn,0.1550473998969307,15.5,0.1190810052852982,15.5,59.0,2021,Platforms,Platforms
.NETCore/.NET5,0.1834873380553458,18.3,0.1633528685626625,18.3,64.0,2021,MiscTech,MiscTech
.NETFramework,0.199187430338331,19.9,0.093014058174235,19.9,60.0,2021,MiscTech,MiscTech
ApacheSpark,0.0339529476623641,3.4,0.0413835256894258,3.4,68.0,2021,MiscTech,MiscTech
Cordova,0.041838948213665,4.2,0.0176775848224451,4.2,40.0,2021,MiscTech,MiscTech
Flutter,0.0789319143326262,7.9,0.1104040077182133,7.9,31.0,2021,MiscTech,MiscTech
Hadoop,0.025827251045674,2.6,0.033581418761011,2.6,62.0,2021,MiscTech,MiscTech
Keras,0.0590850801184098,5.9,0.0622011289684679,5.9,46.0,2021,MiscTech,MiscTech
NumPy,0.1970900897661764,19.7,0.1530818921607401,19.7,55.0,2021,MiscTech,MiscTech
Pandas,0.1637603518738239,16.4,0.1301909179160824,16.4,55.0,2021,MiscTech,MiscTech
Qt,0.0576708733326142,5.8,0.0416831457711621,5.8,54.0,2021,MiscTech,MiscTech
ReactNative,0.0845048478529224,8.5,0.1033209889859658,8.5,44.0,2021,MiscTech,MiscTech
TensorFlow,0.0962859094667961,9.6,0.142367478037848,9.6,51.0,2021,MiscTech,MiscTech
Torch/PyTorch,0.0576229341195364,5.8,0.0956027756804372,5.8,54.0,2021,MiscTech,MiscTech
ASP.NET,0.118865278826448,11.9,0.053787797073311,11.9,58.0,2021,Webframe,Webframe
ASP.NETCore,0.1366746964848572,13.7,0.1252891333788756,13.7,62.0,2021,Webframe,Webframe
Angular,0.1734320881122736,17.3,0.1382207361066168,17.3,50.0,2021,Webframe,Webframe
Angular.js,0.0867939452773882,8.7,0.0514507604357674,8.7,50.0,2021,Webframe,Webframe
Django,0.1132084516832656,11.3,0.1092055273912678,11.3,45.0,2021,Webframe,Webframe
Drupal,0.0180730833303371,1.8,0.0078260765349536,1.8,52.0,2021,Webframe,Webframe
Express,0.1798918970745095,18.0,0.1424393868574647,18.0,48.0,2021,Webframe,Webframe
FastAPI,0.0293268136003547,2.9,0.0478073802418533,2.9,54.0,2021,Webframe,Webframe
Flask,0.1219333884634283,12.2,0.0910125960282361,12.2,56.0,2021,Webframe,Webframe
Gatsby,0.0299739929769052,3.0,0.0339169932525557,3.0,62.0,2021,Webframe,Webframe
Laravel,0.0764270904493102,7.6,0.0567360586775968,7.6,29.0,2021,Webframe,Webframe
React.js,0.3031675835041167,30.3,0.3082251704838265,30.3,59.0,2021,Webframe,Webframe
RubyonRails,0.0531885569098383,5.3,0.0509234290919114,5.3,79.0,2021,Webframe,Webframe
Spring,0.1099845396037824,11.0,0.0866381428348853,11.0,53.0,2021,Webframe,Webframe
Svelte,0.0207936336725032,2.1,0.0627404451155934,2.1,65.0,2021,Webframe,Webframe
Symfony,0.0290871175349656,2.9,0.0214048586392454,2.9,47.0,2021,Webframe,Webframe
Vue.js,0.143266338283057,14.3,0.1891681348050671,14.3,51.0,2021,Webframe,Webframe
jQuery,0.2599863373242728,26.0,0.1017150253478589,26.0,47.0,2021,Webframe,Webframe
Cassandra,0.0224475365236879,2.2,0.0506597634199834,2.2,67.0,2021,Database,Database
Couchbase,0.0132551924160164,1.3,0.0200146214599887,1.3,64.0,2021,Database,Database
DynamoDB,0.0615659343951869,6.2,0.0723762269442347,6.2,82.0,2021,Database,Database
Elasticsearch,0.1118301993072783,11.2,0.1395510492695262,11.2,68.0,2021,Database,Database
Firebase,0.1363031675835041,13.6,0.1291482400316398,13.6,37.0,2021,Database,Database
IBMDB2,0.0172341471014753,1.7,0.00812569661669,1.7,65.0,2021,Database,Database
MariaDB,0.1448723019211639,14.5,0.0979877515310586,14.5,47.0,2021,Database,Database
MicrosoftSQLServer,0.226464842579609,22.6,0.1365548484521626,22.6,59.0,2021,Database,Database
MongoDB,0.2334519828857009,23.3,0.2412660746173851,23.3,45.0,2021,Database,Database
MySQL,0.4229317225757739,42.3,0.2433753999928091,42.3,44.0,2021,Database,Database
Oracle,0.106281235393521,10.6,0.0546147484989033,10.6,48.0,2021,Database,Database
PostgreSQL,0.3406560481309699,34.1,0.3245724421433622,34.1,60.0,2021,Database,Database
Redis,0.1744028571770994,17.4,0.2062824338738479,17.4,65.0,2021,Database,Database
SQLite,0.2712640372008293,27.1,0.184338259087477,27.1,53.0,2021,Database,Database
APL,0.0064238545524275,0.6,0.00680736825705,0.6,88.0,2021,Programming,Programming
Assembly,0.0555136087441124,5.6,0.0428816260981076,5.6,57.0,2021,Programming,Programming
Bash/Shell,0.2682798211867352,26.8,0.1683025923129472,26.8,74.0,2021,Programming,Programming
C,0.2076846558563741,20.8,0.1162765613202459,20.8,55.0,2021,Programming,Programming
C#,0.2754587183451383,27.5,0.2157144740469085,27.5,60.0,2021,Programming,Programming
C++,0.2403791991754455,24.0,0.1827562650559091,24.0,55.0,2021,Programming,Programming
COBOL,0.0052373590287515,0.5,0.0037033042102613,0.5,55.0,2021,Programming,Programming
Clojure,0.0186004146741931,1.9,0.0289193302891933,1.9,97.0,2021,Programming,Programming
Crystal,0.0055849183235657,0.6,0.0094679945828689,0.6,74.0,2021,Programming,Programming
Dart,0.0595045482328407,6.0,0.0841093493450305,6.0,32.0,2021,Programming,Programming
Delphi,0.0207456944594254,2.1,0.0116851831877179,2.1,48.0,2021,Programming,Programming
Elixir,0.0172341471014753,1.7,0.0404367262311389,1.7,81.0,2021,Programming,Programming
Erlang,0.0078021069284147,0.8,0.0165270437085775,0.8,83.0,2021,Programming,Programming
F#,0.0096357818286412,1.0,0.0258512206522129,1.0,85.0,2021,Programming,Programming
Go,0.0944282649600306,9.4,0.189216074018145,9.4,78.0,2021,Programming,Programming
Groovy,0.0297103273049772,3.0,0.0141061134481477,3.0,76.0,2021,Programming,Programming
HTML/CSS,0.554405014441688,55.4,0.351789930368293,55.4,54.0,2021,Programming,Programming
Haskell,0.0209614209182756,2.1,0.0413835256894258,2.1,69.0,2021,Programming,Programming
Java,0.3495008329438272,35.0,0.2064022819065425,35.0,53.0,2021,Programming,Programming
JavaScript,0.6422296528002492,64.2,0.4435335993959659,64.2,55.0,2021,Programming,Programming
Julia,0.0127997698917772,1.3,0.0293028439938158,1.3,68.0,2021,Programming,Programming
Kotlin,0.0822876592480734,8.2,0.1281295317537362,8.2,57.0,2021,Programming,Programming
LISP,0.0131353443833219,1.3,0.0181330073466844,1.3,79.0,2021,Programming,Programming
Matlab,0.0460935533743213,4.6,0.0187202627068876,4.6,45.0,2021,Programming,Programming
Node.js,0.3352748714629849,33.5,0.2888337587938494,33.5,57.0,2021,Programming,Programming
Objective-C,0.0276848955524395,2.8,0.016778724577236,2.8,66.0,2021,Programming,Programming
PHP,0.217284483275207,21.7,0.1060894785412097,21.7,40.0,2021,Programming,Programming
Perl,0.0243051810304533,2.4,0.0140821438416088,2.4,81.0,2021,Programming,Programming
PowerShell,0.1063171898033293,10.6,0.0586775968072484,10.6,70.0,2021,Programming,Programming
Python,0.4768992916981268,47.7,0.4186171933987703,47.7,60.0,2021,Programming,Programming
R,0.0501564016826663,5.0,0.0481189851268591,5.0,60.0,2021,Programming,Programming
Ruby,0.0667433694075911,6.7,0.0592288977576433,6.7,81.0,2021,Programming,Programming
Rust,0.0694998741595656,6.9,0.190138903869893,6.9,80.0,2021,Programming,Programming
SQL,0.465429834969259,46.5,0.3191672958688383,46.5,58.0,2021,Programming,Programming
Scala,0.0257433574227879,2.6,0.0379319023478229,2.6,81.0,2021,Programming,Programming
Swift,0.050384112944786,5.0,0.0761394551708433,5.0,60.0,2021,Programming,Programming
TypeScript,0.2985294646388379,29.9,0.3224511319646688,29.9,60.0,2021,Programming,Programming
VBA,0.0461055381775908,4.6,0.0128117546950466,4.6,55.0,2021,Programming,Programming
