Language,Worked,Worked_per,Wanted,Wanted_per,Salary,Year,Category
AWS,0.22322024169652968,22.3,0.28514915995718343,22.3,74,2020,Platforms
Android,0.21875242394626207,21.9,0.23401746792634306,21.9,45,2020,Platforms
Arduino,0.0886117187136408,8.9,0.10696390065310808,8.9,48,2020,Platforms
Docker,0.2924403903135229,29.2,0.36390996106172724,29.2,68,2020,Platforms
GoogleCloudPlatform,0.11741983524922046,11.7,0.18069840678860086,11.7,61,2020,Platforms
Heroku,0.09267619180589814,9.3,0.07866772156807993,9.3,48,2020,Platforms
IBMCloudorWatson,0.013589612323730628,1.4,0.02812553326817766,1.4,57,2020,Platforms
Kubernetes,0.09584089604567103,9.6,0.2173252043871488,9.6,80,2020,Platforms
Linux,0.45919237988861483,45.9,0.42622671072431395,45.9,60,2020,Platforms
MacOS,0.20008997688524843,20.0,0.18294782891981198,20.0,72,2020,Platforms
MicrosoftAzure,0.12146879508540047,12.1,0.15227812165495416,12.1,70,2020,Platforms
RaspberryPi,0.12426118117931773,12.4,0.18017095608197203,12.4,66,2020,Platforms
SlackAppsandIntegrations,0.060842990335241466,6.1,0.058810753789112796,6.1,72,2020,Platforms
Windows,0.4436015575309102,44.4,0.2763841702734987,44.4,54,2020,Platforms
WordPress,0.1187384620157925,11.9,0.05967949612944261,11.9,43,2020,Platforms
iOS,0.10179798637936116,10.2,0.14515753711546517,10.2,60,2020,Platforms
