Language,Worked,Worked_per,Wanted,Wanted_per,Salary,Year,Category
.NET,0.21941949395758675,21.9,0.13029583779339446,21.9,61,2020,MiscTech
.NETCore,0.16684506911155583,16.7,0.17998479700904424,16.7,65,2020,MiscTech
Ansible,0.04584167170847489,4.6,0.05473076744077814,4.6,75,2020,MiscTech
ApacheSpark,0.032407191945517444,3.2,0.06244085571120522,3.2,72,2020,MiscTech
Chef,0.011371216704674144,1.1,0.01735933355051892,1.1,97,2020,MiscTech
Cordova,0.03752656645103241,3.8,0.023797334822605917,3.8,40,2020,MiscTech
Flutter,0.044941902855990444,4.5,0.12225997114534369,4.5,36,2020,MiscTech
Hadoop,0.027892834427017888,2.8,0.06163416639518469,2.8,70,2020,MiscTech
Keras,0.03884519321760444,3.9,0.05815919703386544,3.9,52,2020,MiscTech
Node.js,0.32176044429965406,32.2,0.31975923426568004,32.2,58,2020,MiscTech
Pandas,0.09700439025146988,9.7,0.10483858457051551,9.7,61,2020,MiscTech
Puppet,0.014660026993065574,1.5,0.02088084268007012,1.5,83,2020,MiscTech
ReactNative,0.07176432261367338,7.2,0.15784738058671136,7.2,49,2020,MiscTech
TensorFlow,0.07216766727168365,7.2,0.18943236996013094,7.2,57,2020,MiscTech
Teraform,0.0390623788026869,3.9,0.06366640294131336,3.9,94,2020,MiscTech
Torch/PyTorch,0.029040815376739425,2.9,0.07913311925039947,2.9,58,2020,MiscTech
Unity3D,0.06845999906920464,6.8,0.11486014799646298,6.8,50,2020,MiscTech
UnrealEngine,0.020415444997750578,2.0,0.06591582507252447,2.0,48,2020,MiscTech
Xamarin,0.03656474457423869,3.7,0.05573912908580382,3.7,54,2020,MiscTech
